"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"920_10",0.744014811442734,0.0134253554555078,0.0115457272726721,0.0126282108358286,0.0121446102138203,0.0124238190657805,0.0124683809991107,0.012221941952032,0.0123891379955106,0.0126130525404533,0.0121782919734885,0.0115044501096892,0.01167175745637,0.0124614931045082,0.0122655332224458,0.0123755129526702,0.0114775537951268,0.0130153979573009,0.0120689083041865,0.0127640915305463,0.012001680809505,0.0103402810107126
"928_08",0.00665882251359883,0.00669965318136719,0.00658289016593861,0.00804305602792773,0.00775533163492991,0.00772560317902372,0.00713325846110042,0.013811810014495,0.846990566310753,0.00669259925039569,0.00694806208776761,0.00701442524411499,0.00665378603618354,0.00687573375719173,0.00693712496426246,0.00680538655047631,0.00702442702734848,0.00674241202374408,0.00668505530126342,0.00661215347145205,0.00667721463371585,0.00693062816294987
"920_07",0.273711495693215,0.00945423358111055,0.00888044959457138,0.00871524821601209,0.00878999595513016,0.00893902008699341,0.00899113891560288,0.00991828580082795,0.539051599004545,0.00832678199514292,0.00853253406474681,0.0080873792804331,0.0127177489803326,0.0102230461435219,0.00879282466609458,0.00907717962973691,0.00903720241327628,0.0125760134717879,0.00878824500846417,0.00861326472579932,0.00881171102379946,0.00996460174885596
"753_10",0.716663263918005,0.012458826133406,0.0126948047207765,0.0125101510982062,0.0126513777975233,0.0124382926319485,0.0123775209036983,0.0123301784435999,0.0127343476630967,0.0122091221240624,0.0120693881591079,0.0114523315115587,0.0125522784119987,0.0124182652332741,0.0122363654232296,0.0123356298313196,0.0132133904906526,0.0141517336947993,0.0133327935079584,0.0192062472385697,0.0129943103897508,0.0249693806734581
"753_07",0.133315178180078,0.0353240713336981,0.0161206939360695,0.0154537574758719,0.015439184379863,0.0159824281587921,0.0152779386680021,0.017605248678946,0.0171296001677798,0.0145391118579817,0.0153982132690477,0.0156671192720493,0.215171707425946,0.0324792025248498,0.015398898128737,0.0176655840706944,0.0276301742130065,0.0155524178977462,0.015758656369088,0.0160434797021819,0.0245997518582787,0.292447582431293
"753_04",0.0354316666512504,0.0386699267175334,0.0415452592632703,0.0445231598428213,0.0432512465277746,0.0433332476912833,0.0448807366497883,0.0467785660878168,0.045026036475969,0.0462079321662856,0.0454369997822876,0.054842458729421,0.0455276507570814,0.0442942944418903,0.0450714259227493,0.0441135149400588,0.0447787277644156,0.0437110422317778,0.0431337719657224,0.0443432432298724,0.0426390749763222,0.0724600171846081
"753_01",0.035411081452793,0.040728907670342,0.0425299369671645,0.0441330914795624,0.0428370102234481,0.0431356017779341,0.0434996554113946,0.0455225818867789,0.0463505682445666,0.0451641324466463,0.0463664607838618,0.0533106857773068,0.0448418143857298,0.0456448563371829,0.0452344758842067,0.0456232794912727,0.0484333468738563,0.0445973083828068,0.0421885331400813,0.0431783336664439,0.0438124040358538,0.0674559336807668
"757_01",0.00628931607133113,0.00680740666528893,0.00695905296685674,0.00658654758965514,0.00675745816963047,0.00703799176391262,0.0073695809847089,0.00658281725595276,0.006962344950462,0.00730850698589082,0.00778038415268268,0.00766714579140497,0.00774359873953193,0.00863654082855671,0.0113783903365448,0.00833528083948891,0.837994987821674,0.0082400385768715,0.0074122279331281,0.00748047842660216,0.00739078324778237,0.0112791199020421
"757_05",0.302989954431645,0.0325082970640239,0.0320927802834874,0.0315176263941126,0.0303282207171494,0.0341029700759286,0.0325113637281435,0.0300848129806858,0.0292501091987241,0.0379026634636069,0.0300008972128176,0.0340314845359002,0.0315876863619146,0.0307161630883071,0.0309974259356526,0.0374113361812275,0.0404628131264572,0.0352255264808025,0.0374438884145563,0.0370948877595252,0.0338441459882784,0.0278949465770538
"772_07",0.138012410765169,0.0400957749153788,0.0477667169013822,0.0413650233533026,0.040096516274393,0.039298861984023,0.0404971730317498,0.0401629094388884,0.0377119580860573,0.045231400423708,0.0406447383589018,0.0418710122025847,0.0402546920366079,0.039593689747431,0.040893566046393,0.0393770965125014,0.0405788045514102,0.0465987560836939,0.039719690640724,0.0393853716714444,0.0395615509278342,0.0412822860464212
"757_08",0.0332596251069332,0.0381550226208392,0.04089937458064,0.0549292412153568,0.0462330388908838,0.049828796360478,0.045488979260222,0.047685114978501,0.048600927132967,0.0695790374485595,0.0485979088129325,0.0501231434229501,0.0423219511551951,0.0436709381665271,0.0443067575374165,0.044744761014155,0.0424767196167989,0.0406926435944441,0.041878851582256,0.0416633592549464,0.0410359365050562,0.0438278717419419
"764_09",0.142135658634592,0.00561774628277323,0.0057519518345461,0.00605313081931856,0.0053563805512993,0.00564854471299537,0.00571113948729802,0.00591861055123612,0.00545896742243336,0.745180785613829,0.00590416665857405,0.00556774370241997,0.00533145494378905,0.00532568854862251,0.00586189457224142,0.00593591708961938,0.00581792853644994,0.00589219548566416,0.00563517609104697,0.00561976272597064,0.00535465957948914,0.00492049615579143
"764_07",0.0428613917534904,0.0438529986503832,0.0445923077455823,0.0466901394341756,0.0460158831634199,0.0454955887192011,0.0453261227317675,0.0450978868863079,0.0474942943315029,0.0467251200143586,0.0471581611223135,0.0457151524907047,0.0443777536604205,0.0431535514965927,0.0502359535695613,0.0459333187774525,0.044816370956961,0.0448972774046645,0.0452171602813236,0.0443675243223906,0.0427791529025317,0.0471968895848941
"772_06",0.0690216865429532,0.0385639857842729,0.0420388871263507,0.0410972467509918,0.0396643521802374,0.0386624173365483,0.0401693114838258,0.0390155516071097,0.0413873356788396,0.0381241272432254,0.0394820228786128,0.0742622359543424,0.0386191750544951,0.0393453281904927,0.0399587186964006,0.0396930390772099,0.038804502655752,0.0403668778466495,0.0407439338859085,0.0575365058612481,0.0689018616591197,0.054540896505414
"775_06",0.0540052596374873,0.0438773828569962,0.0419844483170515,0.0420168968147257,0.0417025909918656,0.0427533844202042,0.0440652858757607,0.0439438669994299,0.044402879903985,0.0380813624461766,0.0402754591137438,0.0398575212890167,0.0498274415454731,0.0542630145781222,0.0452590178230134,0.0516544085463617,0.0564789225390147,0.0414473948437938,0.0417440502735058,0.0408800382961605,0.0418665806436175,0.0596127922444941
"775_05",0.136606449728101,0.0450735919206692,0.0390209429128428,0.048342317073267,0.0418837159287055,0.0547611905723826,0.0412848694466342,0.0437902727464653,0.0460662337601892,0.0393889836195761,0.0397277632937639,0.036140507413125,0.0386394859343811,0.0371400079898928,0.037734009241224,0.0375059360761762,0.0371053224807816,0.03720825638797,0.0381858026103033,0.0376052427991383,0.0402449036278142,0.046544194436597
"775_07",0.795150742923092,0.00995763412375769,0.00932590496057989,0.0100922658929956,0.00975523138835827,0.0099176113058566,0.00981082015211617,0.0100835697411544,0.0101682471526145,0.0102831555178575,0.0101948665146475,0.00962095639508693,0.00938450938917389,0.00966349706582769,0.00982438240302256,0.00951370493058134,0.00903565358995596,0.00979636853390472,0.00932062509875841,0.00976683542272294,0.00993338260999227,0.00940003488794279
"775_02",0.0352797220085664,0.0357050804391824,0.0361480065736468,0.0380715441956105,0.037371168702487,0.039785342976889,0.0366130148178851,0.0359634435750239,0.0376548551332107,0.234499257897064,0.0397777636003393,0.0377030509076424,0.0350662436977744,0.0354453168916906,0.0376090222412401,0.0356583697740108,0.0348084639178247,0.035227389801013,0.0366689265648383,0.0348832875069413,0.0336637656208217,0.0363969631562979
"772_09",0.309214800233564,0.0456279151854522,0.0317925953595717,0.0293314693954455,0.0326478833350649,0.0328076262745772,0.0325411046464033,0.0307357047465695,0.030645275382122,0.0330587367739216,0.0327364628225431,0.0327613271181685,0.0337161627674394,0.0317291327282003,0.0332487358227301,0.0319550731543106,0.0324927755479798,0.0342284190978187,0.0309240789759338,0.0319915818082064,0.0345151324490644,0.0312980063749133
