"class","gene_id","logFC","adj.P.Val","direction"
4,"RANBP10",1.07323261495762,0.0060288406346587,"Up"
4,"ATP8B4",2.14837254160778,0.00609359688378678,"Up"
4,"IQGAP3",2.01367306385491,0.00622746539716555,"Up"
4,"RCN3",1.82924309783368,0.00662924007296579,"Up"
4,"PRDX2",1.40177469243282,0.00718029125517849,"Up"
4,"HAVCR2",-1.20644581860623,0.00728440379459486,"Down"
4,"SELENBP1",2.5747722906559,0.00735712384536678,"Up"
4,"AHR",-1.1106387259063,0.00742703215169395,"Down"
4,"ACSL6",2.63357248036099,0.00743354946503911,"Up"
4,"NRXN2",2.18229675558408,0.00743354946503911,"Up"
4,"CD3D",-1.9867028316111,0.00743354946503911,"Down"
4,"MYB",1.52431583761825,0.00743354946503911,"Up"
4,"PCYOX1",-1.16683453335263,0.00743354946503911,"Down"
4,"STK11",1.05611735189538,0.00743354946503911,"Up"
4,"PLA2G2D",-1.51753186007559,0.00769366347318777,"Down"
4,"SEMA5A",-1.66574536209141,0.00793545116189571,"Down"
4,"C1S",-1.03453820351336,0.00825019996869207,"Down"
4,"ERMAP",1.39498429857435,0.00880067414375957,"Up"
4,"CA2",3.2959042524118,0.00885418293371758,"Up"
4,"DNAJA4",1.74022330942943,0.00935684970340757,"Up"
4,"CD36",2.27776928453884,0.00950727160074697,"Up"
4,"NELL2",-1.98029404091023,0.0103728062063299,"Down"
4,"SLC6A8",3.00395697711779,0.010627906040258,"Up"
4,"UROD",1.0157254748552,0.010627906040258,"Up"
4,"CCL21",-2.88166385471862,0.0113075977189312,"Down"
4,"SLC25A39",1.5408996651957,0.0113075977189312,"Up"
4,"TF",2.44887639686848,0.0125532517012308,"Up"
4,"MST1",2.04179188167737,0.0137913080644029,"Up"
4,"DYRK3",1.93769515179149,0.0137913080644029,"Up"
4,"E2F2",1.93446305232904,0.0137913080644029,"Up"
4,"ANKRD50",1.32141266319676,0.0137913080644029,"Up"
4,"TEX2",1.00096538681775,0.0137913080644029,"Up"
4,"ANXA1",1.61570808435357,0.0145697333287139,"Up"
4,"IL33",-1.70626125727297,0.0152172467201127,"Down"
4,"KIF24",1.20126155376974,0.0161221723295784,"Up"
4,"LST1",1.8122066497077,0.0171372076293118,"Up"
4,"MEGF9",1.20528174719921,0.0171836467370122,"Up"
4,"CARD9",1.96292645245484,0.0174824671574445,"Up"
4,"P2RX1",1.82706978580785,0.0174824671574445,"Up"
4,"SNRPF",-1.08564253586295,0.0174824671574445,"Down"
4,"DEF8",1.99768280433102,0.0175726183730129,"Up"
4,"ITM2A",-1.39424445794965,0.0175726183730129,"Down"
4,"WDR90",1.11904202114129,0.0176101465607478,"Up"
4,"CENPF",1.25352427192637,0.0177771258814758,"Up"
4,"ANTXR1",-1.03783376583151,0.0177771258814758,"Down"
4,"UBAC1",1.34385395806823,0.0179566130740356,"Up"
4,"SLC43A1",2.41975065800866,0.0180984570208771,"Up"
4,"CR1L",2.80744310282634,0.0185613903123462,"Up"
4,"CD3G",-1.54247247333121,0.0185613903123462,"Down"
4,"CLU",-1.49939446676198,0.0185613903123462,"Down"
4,"ALAD",1.47164398460682,0.0185613903123462,"Up"
4,"TSPAN5",1.42607287655549,0.0185613903123462,"Up"
4,"ITSN1",1.1775615538206,0.0188433565303396,"Up"
4,"SLC1A5",1.52138615930914,0.0208302567581163,"Up"
4,"BST1",2.05040669369364,0.0213147840914983,"Up"
4,"GCLM",1.21844001034253,0.0214147234792295,"Up"
4,"TESC",2.22767154872026,0.0223261639014617,"Up"
4,"MXD3",1.19344945725354,0.0226822639007279,"Up"
4,"ABCB6",1.35649385266337,0.0227699617903588,"Up"
4,"KIF15",1.05899243019762,0.0227699617903588,"Up"
4,"MNDA",1.39045151887091,0.0231650839387879,"Up"
4,"INPP4B",-1.09303773366185,0.0231650839387879,"Down"
4,"LILRB5",2.08619797434938,0.0236790684839899,"Up"
4,"PTGDS",-1.39982332750663,0.0236799842757785,"Down"
4,"ITK",-1.511221876272,0.0238202200733814,"Down"
4,"HJURP",1.29279062966513,0.0241683716659476,"Up"
4,"TROAP",1.60830122053732,0.0245833312440751,"Up"
4,"ACSL1",1.12270951677228,0.0245833312440751,"Up"
4,"FGR",1.65431508917775,0.0246464975564456,"Up"
4,"CD83",-1.15186059141035,0.0249782463551208,"Down"
4,"CCL19",-1.9027279579862,0.0250150097348851,"Down"
4,"LMO2",2.10422017721495,0.0257750448444538,"Up"
4,"RGS1",-1.82249786281326,0.0264235441435246,"Down"
4,"CD69",-1.23982588606054,0.0271690516008714,"Down"
4,"CD8A",-1.43898852286065,0.0276201370114143,"Down"
4,"DOCK5",1.39991349671532,0.027717105636822,"Up"
4,"TLR7",-1.12896208477901,0.0286583471222832,"Down"
